timestamp,predicted_flow
2025-07-15T12:35:40.156051,3.5
2025-07-15T12:35:41.605727,3.0
2025-07-15T12:35:42.743265,4.5
2025-07-15T12:35:43.943115,5.5
2025-07-15T12:35:45.083976,5.5
2025-07-15T12:35:46.262574,5.5
2025-07-15T12:35:47.370408,5.5
2025-07-15T12:35:48.515171,5.5
2025-07-15T12:35:49.700246,4.0
2025-07-15T12:35:50.843463,4.0
2025-07-15T12:35:52.059871,4.0
2025-07-15T12:35:53.271033,4.0
2025-07-15T12:35:54.484350,4.0
2025-07-15T12:35:55.822623,4.0
2025-07-15T12:35:57.003771,4.0
2025-07-15T12:35:58.218533,2.5
2025-07-15T12:35:59.324924,3.5
2025-07-15T12:36:00.422507,3.5
2025-07-15T12:36:01.575205,3.5
2025-07-15T12:36:02.705532,3.5
2025-07-15T12:36:03.827262,3.5
2025-07-15T12:36:05.012957,3.5
2025-07-15T12:36:06.219138,3.5
2025-07-15T12:36:07.395288,3.5
2025-07-15T12:36:08.544745,3.5
2025-07-15T12:36:09.714129,3.5
2025-07-15T12:36:10.892558,3.5
2025-07-15T12:36:12.180600,4.5
2025-07-15T12:36:13.303129,5.5
2025-07-15T12:36:14.494343,4.5
2025-07-15T12:36:15.644742,4.5
2025-07-15T12:36:16.791431,5.5
2025-07-15T12:36:17.968955,5.5
2025-07-15T12:36:19.178940,5.5
2025-07-15T12:36:20.408833,5.5
2025-07-15T12:36:21.525175,5.5
2025-07-15T12:36:22.857897,3.0
2025-07-15T12:36:23.965561,4.5
2025-07-15T12:36:24.998689,5.5
2025-07-15T12:36:26.303969,5.5
2025-07-15T12:36:27.376785,5.5
2025-07-15T12:36:28.460495,5.5
2025-07-15T12:36:29.542256,6.5
2025-07-15T12:36:30.808988,4.0
2025-07-15T12:36:31.992261,5.0
2025-07-15T12:36:33.096795,5.5
2025-07-15T12:36:34.292157,6.0
2025-07-15T12:36:35.994626,6.0
2025-07-15T12:37:18.178981,3.5
2025-07-15T12:37:19.025498,3.5
2025-07-15T12:37:19.622968,3.5
2025-07-15T12:37:20.316693,3.5
2025-07-15T12:37:20.948882,4.5
2025-07-15T12:37:21.607914,4.5
2025-07-15T12:37:22.275976,4.5
2025-07-15T12:37:22.957978,4.5
2025-07-15T12:37:23.647364,5.0
2025-07-15T12:37:24.328462,5.0
2025-07-15T12:37:25.004570,5.0
2025-07-15T12:37:25.695093,5.0
2025-07-15T12:37:26.407269,5.0
2025-07-15T12:37:27.162072,3.0
2025-07-15T12:37:28.138406,3.0
2025-07-15T12:37:28.830188,3.0
2025-07-15T12:37:29.556737,3.0
2025-07-15T12:37:30.275140,3.5
2025-07-15T12:37:30.930222,3.5
2025-07-15T12:37:31.709635,3.5
2025-07-15T12:37:32.415816,4.0
2025-07-15T12:37:33.287535,4.5
2025-07-15T12:37:34.062362,4.5
2025-07-15T12:37:34.767802,4.5
2025-07-15T12:37:35.722721,3.0
2025-07-15T12:37:36.516933,3.0
2025-07-15T12:37:37.518414,3.0
2025-07-15T12:37:38.388411,3.0
2025-07-15T12:37:39.231837,3.0
2025-07-15T12:37:40.055648,3.5
2025-07-15T12:37:41.065303,4.0
2025-07-15T12:37:41.787510,5.0
2025-07-15T12:37:42.825859,5.0
2025-07-15T12:37:43.835073,2.0
2025-07-15T12:37:44.488258,2.0
2025-07-15T12:37:45.192661,3.5
2025-07-15T12:37:45.860626,4.5
2025-07-15T12:37:46.520592,4.5
2025-07-15T12:37:47.182090,5.5
2025-07-15T12:37:47.851112,6.0
2025-07-15T12:37:48.531235,6.0
2025-07-15T12:37:49.205619,6.0
2025-07-15T12:37:49.867440,6.5
2025-07-15T12:37:50.533682,6.5
2025-07-15T12:37:51.213484,6.5
2025-07-15T12:37:51.907710,1.5
2025-07-15T12:37:52.565425,2.5
2025-07-15T12:37:53.235536,2.5
2025-07-15T12:37:53.914316,2.5
2025-07-15T12:37:54.622948,3.5
2025-07-15T12:37:55.369455,3.5
2025-07-15T12:37:56.034053,3.5
2025-07-15T12:37:56.769534,3.5
2025-07-15T12:37:57.511080,4.5
2025-07-15T12:37:58.249192,4.5
2025-07-15T12:37:58.896498,4.5
